"RS","z"
221.63,137.667679205173
221.72,137.667679205173
222.06,137.996952708175
222.5,137.996952708175
222.58,137.996952708175
223.21,137.996952708175
223.86,138.222559486947
224.43,138.222559486947
225.05,138.374998511338
225.63,138.469509962128
226.2,138.615854775033
226.95,138.695126045041
227.33,138.695126045041
227.8,138.853659280917
228.06,138.917681066001
228.32,138.984754608899
228.53,138.984754608899
228.73,138.984754608899
228.98,139.039630424686
229.22,139.094515544612
