"n","TW","S","h","z","w_fp","z_fp","n_fp","XS_spacing","L","b","A_bf","P_bf","Q_bf","Geometry","Qp","Qd","Geometry2","Run"
0.03,1000,0.001,5,4,60000,1e+05,0.05,250,150000,960,4900,1001.23105625618,14888.4448739539,"009",4.5,10,"009",75
0.03,1000,0.001,5,4,60000,1e+05,0.05,250,150000,960,4900,1001.23105625618,14888.4448739539,"009",2.5,30,"009",76
0.03,1000,0.001,5,4,60000,1e+05,0.05,250,150000,960,4900,1001.23105625618,14888.4448739539,"009",3.5,30,"009",77
0.03,1000,0.001,5,4,60000,1e+05,0.05,250,150000,960,4900,1001.23105625618,14888.4448739539,"009",4.5,30,"009",78
0.03,1000,0.001,5,4,60000,1e+05,0.05,250,150000,960,4900,1001.23105625618,14888.4448739539,"009",2.5,60,"009",79
0.03,1000,0.001,5,4,60000,1e+05,0.05,250,150000,960,4900,1001.23105625618,14888.4448739539,"009",3.5,60,"009",80
0.03,1000,0.001,5,4,60000,1e+05,0.05,250,150000,960,4900,1001.23105625618,14888.4448739539,"009",4.5,60,"009",81
0.03,100,1e-04,5,4,60000,1e+05,0.15,250,150000,60,400,101.231056256177,333.249534872744,"010",2.5,10,"010",82
0.03,100,1e-04,5,4,60000,1e+05,0.15,250,150000,60,400,101.231056256177,333.249534872744,"010",3.5,10,"010",83
0.03,100,1e-04,5,4,60000,1e+05,0.15,250,150000,60,400,101.231056256177,333.249534872744,"010",4.5,10,"010",84
0.03,100,1e-04,5,4,60000,1e+05,0.15,250,150000,60,400,101.231056256177,333.249534872744,"010",2.5,30,"010",85
0.03,100,1e-04,5,4,60000,1e+05,0.15,250,150000,60,400,101.231056256177,333.249534872744,"010",3.5,30,"010",86
0.03,100,1e-04,5,4,60000,1e+05,0.15,250,150000,60,400,101.231056256177,333.249534872744,"010",4.5,30,"010",87
0.03,100,1e-04,5,4,60000,1e+05,0.15,250,150000,60,400,101.231056256177,333.249534872744,"010",2.5,60,"010",88
0.03,100,1e-04,5,4,60000,1e+05,0.15,250,150000,60,400,101.231056256177,333.249534872744,"010",3.5,60,"010",89
0.03,100,1e-04,5,4,60000,1e+05,0.15,250,150000,60,400,101.231056256177,333.249534872744,"010",4.5,60,"010",90
